id,name,population,SARSCASES,SARSDEATHS,SARSRECOVERED,MERSC,H1N1D,H1N1C,MERSCA,MERSD,CC,CR,CD
CHN,China,1330141295,7753,730,6881,1,714,62871,1,0,,,
IND,India,1173108018,3,0,3,0,1404,28465,0,0,,,
USA,USA,310232863,75,0,67,0,2635,57602,2,0,,,
IDN,Indonesia,242968342,2,0,2,0,10,1098,0,0,,,
BRA,Brazil,201103330,1,0,1,0,1632,17219,0,0,,,
PAK,Pakistan,177276594,0,0,0,0,14,11,0,0,,,
BGD,Bangladesh,158065841,0,0,0,0,6,814,0,0,,,
NGA,Nigeria,152217341,0,0,0,0,2,11,0,0,,,
RUS,Russia,139390205,1,0,0,0,0,0,0,0,,,
JPN,Japan,126804433,0,0,0,0,145,5022,0,0,,,
MEX,Mexico,112468855,0,0,0,0,1103,54298,0,0,,,
PHL,Philippines,99900177,14,2,12,2,30,3207,3,0,,,
VNM,Vietnam,89571130,63,5,58,0,53,995,0,0,,,
ETH,Ethiopia,88013491,0,0,0,0,0,6,0,0,,,
DEU,Germany,82282988,10,0,9,3,243,19893,3,2,,,
EGY,Egypt,80471869,0,0,0,1,258,7618,1,0,,,
TUR,Turkey,77804122,0,0,0,1,415,1400,1,1,,,
COD,"Congo, Democratic Republic of the",70916439,0,0,0,0,0,0,0,0,,,
IRN,Iran,67037517,0,0,0,6,147,3672,6,2,,,
THA,Thailand,66404688,9,2,7,3,218,30588,1,0,,,
FRA,France,64057792,7,1,6,2,309,1125,2,1,,,
GBR,England,61284806,4,0,4,5,447,28823,4,3,,,
ITA,Italy,58090681,4,0,4,1,1,2470,1,0,,,
MMR,Burma,53414374,0,0,0,0,0,0,0,0,,,
ZAF,South Africa,49109107,1,1,0,0,93,12636,0,0,,,
KOR,"Korea, South",48636068,3,0,3,186,170,2032,185,36,,,
UKR,Ukraine,45415596,0,0,0,0,202,1,0,0,,,
COL,Colombia,44205293,1,0,1,0,205,2912,0,0,,,
SDN,Sudan,41980182,0,0,0,0,5,24,0,0,,,
