Country,Day,Confirmed,Deaths
USA,1,1,0
USA,2,1,0
USA,3,2,0
USA,4,2,0
USA,5,5,0
USA,6,5,0
USA,7,5,0
USA,8,5,0
USA,9,5,0
USA,10,7,0
USA,11,8,0
USA,12,8,0
USA,13,11,0
USA,14,11,0
USA,15,11,0
USA,16,11,0
USA,17,11,0
USA,18,11,0
USA,19,11,0
USA,20,11,0
USA,21,12,0
USA,22,12,0
USA,23,13,0
USA,24,13,0
USA,25,13,0
USA,26,13,0
USA,27,13,0
USA,28,13,0
USA,29,13,0
USA,30,13,0
USA,31,15,0
USA,32,15,0
USA,33,15,0
USA,34,51,0
USA,35,51,0
USA,36,57,0
USA,37,58,0
USA,38,60,0
USA,39,68,1
USA,40,74,1
USA,41,98,6
USA,42,118,7
USA,43,149,11
USA,44,217,12
USA,45,262,14
USA,46,402,17
USA,47,518,21
USA,48,583,22
USA,49,959,28
USA,50,1281,36
USA,51,1663,40
USA,52,2179,47
USA,53,2727,54
USA,54,3499,63
USA,55,4632,85
USA,56,6421,108
USA,57,7783,118
USA,58,13747,200
USA,59,19273,244
USA,60,25600,307
USA,61,33276,417
USA,62,43843,557
USA,63,53736,706
USA,64,65778,942
USA,65,83836,1209
USA,66,101657,1581
USA,67,121465,2026
USA,68,140909,2467
USA,69,161831,2978
USA,70,188172,3874
USA,71,213242,4760
USA,72,243622,5929
USA,73,275367,7090
USA,74,308650,8408
USA,75,336802,9619
USA,76,366317,10783
USA,77,397121,12794
USA,78,428654,14704
USA,79,462780,16544
USA,80,496535,18595
USA,81,526396,20471
USA,82,555313,22029
USA,83,580619,23538
USA,84,607670,25843
USA,85,636350,28338
USA,86,667592,32930
USA,87,699706,36787
USA,88,732197,38664
USA,89,758809,40661
USA,90,784326,42094
USA,91,812036,44444
USA,92,839675,46583
Spain,1,0,0
Spain,2,0,0
Spain,3,0,0
Spain,4,0,0
Spain,5,0,0
Spain,6,0,0
Spain,7,0,0
Spain,8,0,0
Spain,9,0,0
Spain,10,0,0
Spain,11,1,0
Spain,12,1,0
Spain,13,1,0
Spain,14,1,0
Spain,15,1,0
Spain,16,1,0
Spain,17,1,0
Spain,18,1,0
Spain,19,2,0
Spain,20,2,0
Spain,21,2,0
Spain,22,2,0
Spain,23,2,0
Spain,24,2,0
Spain,25,2,0
Spain,26,2,0
Spain,27,2,0
Spain,28,2,0
Spain,29,2,0
Spain,30,2,0
Spain,31,2,0
Spain,32,2,0
Spain,33,2,0
Spain,34,2,0
Spain,35,6,0
Spain,36,13,0
Spain,37,15,0
Spain,38,32,0
Spain,39,45,0
Spain,40,84,0
Spain,41,120,0
Spain,42,165,1
Spain,43,222,2
Spain,44,259,3
Spain,45,400,5
Spain,46,500,10
Spain,47,673,17
Spain,48,1073,28
Spain,49,1695,35
Spain,50,2277,54
Spain,51,2277,55
Spain,52,5232,133
Spain,53,6391,195
Spain,54,7798,289
Spain,55,9942,342
Spain,56,11748,533
Spain,57,13910,623
Spain,58,17963,830
Spain,59,20410,1043
Spain,60,25374,1375
Spain,61,28768,1772
Spain,62,35136,2311
Spain,63,39885,2808
Spain,64,49515,3647
Spain,65,57786,4365
Spain,66,65719,5138
Spain,67,73235,5982
Spain,68,80110,6803
Spain,69,87956,7716
Spain,70,95923,8464
Spain,71,104118,9387
Spain,72,112065,10348
Spain,73,119199,11198
Spain,74,126168,11947
Spain,75,131646,12641
Spain,76,136675,13341
Spain,77,141942,14045
Spain,78,148220,14792
Spain,79,153222,15447
Spain,80,158273,16081
Spain,81,163027,16606
Spain,82,166831,17209
Spain,83,170099,17756
Spain,84,172541,18056
Spain,85,177644,18708
Spain,86,184948,19315
Spain,87,190839,20002
Spain,88,191726,20043
Spain,89,198674,20453
Spain,90,200210,20852
Spain,91,204178,21282
Spain,92,208389,21717
Italy,1,0,0
Italy,2,0,0
Italy,3,0,0
Italy,4,0,0
Italy,5,0,0
Italy,6,0,0
Italy,7,0,0
Italy,8,0,0
Italy,9,0,0
Italy,10,2,0
Italy,11,2,0
Italy,12,2,0
Italy,13,2,0
Italy,14,2,0
Italy,15,2,0
Italy,16,2,0
Italy,17,3,0
Italy,18,3,0
Italy,19,3,0
Italy,20,3,0
Italy,21,3,0
Italy,22,3,0
Italy,23,3,0
Italy,24,3,0
Italy,25,3,0
Italy,26,3,0
Italy,27,3,0
Italy,28,3,0
Italy,29,3,0
Italy,30,3,0
Italy,31,20,1
Italy,32,62,2
Italy,33,155,3
Italy,34,229,7
Italy,35,322,10
Italy,36,453,12
Italy,37,655,17
Italy,38,888,21
Italy,39,1128,29
Italy,40,1694,34
Italy,41,2036,52
Italy,42,2502,79
Italy,43,3089,107
Italy,44,3858,148
Italy,45,4636,197
Italy,46,5883,233
Italy,47,7375,366
Italy,48,9172,463
Italy,49,10149,631
Italy,50,12462,827
Italy,51,12462,827
Italy,52,17660,1266
Italy,53,21157,1441
Italy,54,24747,1809
Italy,55,27980,2158
Italy,56,31506,2503
Italy,57,35713,2978
Italy,58,41035,3405
Italy,59,47021,4032
Italy,60,53578,4825
Italy,61,59138,5476
Italy,62,63927,6077
Italy,63,69176,6820
Italy,64,74386,7503
Italy,65,80589,8215
Italy,66,86498,9134
Italy,67,92472,10023
Italy,68,97689,10779
Italy,69,101739,11591
Italy,70,105792,12428
Italy,71,110574,13155
Italy,72,115242,13915
Italy,73,119827,14681
Italy,74,124632,15362
Italy,75,128948,15887
Italy,76,132547,16523
Italy,77,135586,17127
Italy,78,139422,17669
Italy,79,143626,18279
Italy,80,147577,18849
Italy,81,152271,19468
Italy,82,156363,19899
Italy,83,159516,20465
Italy,84,162488,21067
Italy,85,165155,21645
Italy,86,168941,22170
Italy,87,172434,22745
Italy,88,175925,23227
Italy,89,178972,23660
Italy,90,181228,24114
Italy,91,183957,24648
Italy,92,187327,25085
France,1,0,0
France,2,0,0
France,3,2,0
France,4,3,0
France,5,3,0
France,6,3,0
France,7,4,0
France,8,5,0
France,9,5,0
France,10,5,0
France,11,6,0
France,12,6,0
France,13,6,0
France,14,6,0
France,15,6,0
France,16,6,0
France,17,6,0
France,18,11,0
France,19,11,0
France,20,11,0
France,21,11,0
France,22,11,0
France,23,11,0
France,24,11,0
France,25,12,1
France,26,12,1
France,27,12,1
France,28,12,1
France,29,12,1
France,30,12,1
France,31,12,1
France,32,12,1
France,33,12,1
France,34,12,1
France,35,14,1
France,36,18,2
France,37,38,2
France,38,57,2
France,39,100,2
France,40,130,2
France,41,191,3
France,42,204,4
France,43,288,4
France,44,380,6
France,45,656,9
France,46,959,11
France,47,1136,19
France,48,1219,19
France,49,1794,33
France,50,2293,48
France,51,2293,48
France,52,3681,79
France,53,4496,91
France,54,4532,91
France,55,6683,149
France,56,7715,149
France,57,9124,149
France,58,10970,244
France,59,12758,451
France,60,14463,563
France,61,16243,676
France,62,20123,862
France,63,22622,1102
France,64,25600,1333
France,65,29551,1698
France,66,33402,1997
France,67,38105,2317
France,68,40708,2611
France,69,45170,3030
France,70,52827,3532
France,71,57749,4414
France,72,59929,5398
France,73,65202,6520
France,74,69500,7574
France,75,71412,8093
France,76,75343,8926
France,77,79163,10343
France,78,83057,10887
France,79,87366,12228
France,80,91738,13215
France,81,94863,13851
France,82,121712,14412
France,83,125394,14986
France,84,131361,15748
France,85,134582,17188
France,86,147091,17941
France,87,149130,18703
France,88,149149,19345
France,89,154097,19744
France,90,156480,20292
France,91,159297,20829
France,92,157125,21373
Germany,1,0,0
Germany,2,0,0
Germany,3,0,0
Germany,4,0,0
Germany,5,0,0
Germany,6,1,0
Germany,7,4,0
Germany,8,4,0
Germany,9,4,0
Germany,10,5,0
Germany,11,8,0
Germany,12,10,0
Germany,13,12,0
Germany,14,12,0
Germany,15,12,0
Germany,16,12,0
Germany,17,13,0
Germany,18,13,0
Germany,19,14,0
Germany,20,14,0
Germany,21,16,0
Germany,22,16,0
Germany,23,16,0
Germany,24,16,0
Germany,25,16,0
Germany,26,16,0
Germany,27,16,0
Germany,28,16,0
Germany,29,16,0
Germany,30,16,0
Germany,31,16,0
Germany,32,16,0
Germany,33,16,0
Germany,34,16,0
Germany,35,17,0
Germany,36,27,0
Germany,37,46,0
Germany,38,48,0
Germany,39,79,0
Germany,40,130,0
Germany,41,159,0
Germany,42,196,0
Germany,43,262,0
Germany,44,482,0
Germany,45,670,0
Germany,46,799,0
Germany,47,1040,0
Germany,48,1176,2
Germany,49,1457,2
Germany,50,1908,3
Germany,51,2078,3
Germany,52,3675,7
Germany,53,4585,9
Germany,54,5795,11
Germany,55,7272,17
Germany,56,9257,24
Germany,57,12327,28
Germany,58,15320,44
Germany,59,19848,67
Germany,60,22213,84
Germany,61,24873,94
Germany,62,29056,123
Germany,63,32986,157
Germany,64,37323,206
Germany,65,43938,267
Germany,66,50871,342
Germany,67,57695,433
Germany,68,62095,533
Germany,69,66885,645
Germany,70,71808,775
Germany,71,77872,920
Germany,72,84794,1107
Germany,73,91159,1275
Germany,74,96092,1444
Germany,75,100123,1584
Germany,76,103374,1810
Germany,77,107663,2016
Germany,78,113296,2349
Germany,79,118181,2607
Germany,80,122171,2767
Germany,81,124908,2736
Germany,82,127854,3022
Germany,83,130072,3194
Germany,84,131359,3294
Germany,85,134753,3804
Germany,86,137698,4052
Germany,87,141397,4352
Germany,88,143342,4459
Germany,89,145184,4586
Germany,90,147065,4862
Germany,91,148291,5033
Germany,92,150648,5279
United Kingdom,1,0,0
United Kingdom,2,0,0
United Kingdom,3,0,0
United Kingdom,4,0,0
United Kingdom,5,0,0
United Kingdom,6,0,0
United Kingdom,7,0,0
United Kingdom,8,0,0
United Kingdom,9,0,0
United Kingdom,10,2,0
United Kingdom,11,2,0
United Kingdom,12,2,0
United Kingdom,13,2,0
United Kingdom,14,2,0
United Kingdom,15,2,0
United Kingdom,16,2,0
United Kingdom,17,3,0
United Kingdom,18,3,0
United Kingdom,19,3,0
United Kingdom,20,8,0
United Kingdom,21,8,0
United Kingdom,22,9,0
United Kingdom,23,9,0
United Kingdom,24,9,0
United Kingdom,25,9,0
United Kingdom,26,9,0
United Kingdom,27,9,0
United Kingdom,28,9,0
United Kingdom,29,9,0
United Kingdom,30,9,0
United Kingdom,31,9,0
United Kingdom,32,9,0
United Kingdom,33,9,0
United Kingdom,34,13,0
United Kingdom,35,13,0
United Kingdom,36,13,0
United Kingdom,37,15,0
United Kingdom,38,20,0
United Kingdom,39,23,0
United Kingdom,40,36,0
United Kingdom,41,40,0
United Kingdom,42,51,0
United Kingdom,43,86,0
United Kingdom,44,116,1
United Kingdom,45,164,2
United Kingdom,46,207,2
United Kingdom,47,274,3
United Kingdom,48,322,4
United Kingdom,49,384,6
United Kingdom,50,459,8
United Kingdom,51,459,8
United Kingdom,52,802,8
United Kingdom,53,1144,21
United Kingdom,54,1145,21
United Kingdom,55,1551,56
United Kingdom,56,1960,56
United Kingdom,57,2642,72
United Kingdom,58,2716,138
United Kingdom,59,4014,178
United Kingdom,60,5067,234
United Kingdom,61,5745,282
United Kingdom,62,6726,336
United Kingdom,63,8164,423
United Kingdom,64,9640,466
United Kingdom,65,11812,580
United Kingdom,66,14745,761
United Kingdom,67,17312,1021
United Kingdom,68,19780,1231
United Kingdom,69,22453,1411
United Kingdom,70,25481,1793
United Kingdom,71,29865,2357
United Kingdom,72,34173,2926
United Kingdom,73,38689,3611
United Kingdom,74,42477,4320
United Kingdom,75,48436,4943
United Kingdom,76,52279,5385
United Kingdom,77,55949,6171
United Kingdom,78,61474,7111
United Kingdom,79,65872,7993
United Kingdom,80,74605,8974
United Kingdom,81,79874,9892
United Kingdom,82,85206,10629
United Kingdom,83,89570,11347
United Kingdom,84,94845,12129
United Kingdom,85,99483,12894
United Kingdom,86,104145,13759
United Kingdom,87,109769,14607
United Kingdom,88,115314,15498
United Kingdom,89,121172,16095
United Kingdom,90,125856,16550
United Kingdom,91,130172,17378
United Kingdom,92,134638,18151
Turkey,1,0,0
Turkey,2,0,0
Turkey,3,0,0
Turkey,4,0,0
Turkey,5,0,0
Turkey,6,0,0
Turkey,7,0,0
Turkey,8,0,0
Turkey,9,0,0
Turkey,10,0,0
Turkey,11,0,0
Turkey,12,0,0
Turkey,13,0,0
Turkey,14,0,0
Turkey,15,0,0
Turkey,16,0,0
Turkey,17,0,0
Turkey,18,0,0
Turkey,19,0,0
Turkey,20,0,0
Turkey,21,0,0
Turkey,22,0,0
Turkey,23,0,0
Turkey,24,0,0
Turkey,25,0,0
Turkey,26,0,0
Turkey,27,0,0
Turkey,28,0,0
Turkey,29,0,0
Turkey,30,0,0
Turkey,31,0,0
Turkey,32,0,0
Turkey,33,0,0
Turkey,34,0,0
Turkey,35,0,0
Turkey,36,0,0
Turkey,37,0,0
Turkey,38,0,0
Turkey,39,0,0
Turkey,40,0,0
Turkey,41,0,0
Turkey,42,0,0
Turkey,43,0,0
Turkey,44,0,0
Turkey,45,0,0
Turkey,46,0,0
Turkey,47,0,0
Turkey,48,0,0
Turkey,49,0,0
Turkey,50,1,0
Turkey,51,1,0
Turkey,52,5,0
Turkey,53,5,0
Turkey,54,6,0
Turkey,55,18,0
Turkey,56,47,1
Turkey,57,98,1
Turkey,58,192,3
Turkey,59,359,4
Turkey,60,670,9
Turkey,61,1236,30
Turkey,62,1529,37
Turkey,63,1872,44
Turkey,64,2433,59
Turkey,65,3629,75
Turkey,66,5698,92
Turkey,67,7402,108
Turkey,68,9217,131
Turkey,69,10827,168
Turkey,70,13531,214
Turkey,71,15679,277
Turkey,72,18135,356
Turkey,73,20921,425
Turkey,74,23934,501
Turkey,75,27069,574
Turkey,76,30217,649
Turkey,77,34109,725
Turkey,78,38226,812
Turkey,79,42282,908
Turkey,80,47029,1006
Turkey,81,52167,1101
Turkey,82,56956,1198
Turkey,83,61049,1296
Turkey,84,65111,1403
Turkey,85,69392,1518
Turkey,86,74193,1643
Turkey,87,78546,1769
Turkey,88,82329,1890
Turkey,89,86306,2017
Turkey,90,90980,2140
Turkey,91,95591,2259
Turkey,92,98674,2376
Iran,1,0,0
Iran,2,0,0
Iran,3,0,0
Iran,4,0,0
Iran,5,0,0
Iran,6,0,0
Iran,7,0,0
Iran,8,0,0
Iran,9,0,0
Iran,10,0,0
Iran,11,0,0
Iran,12,0,0
Iran,13,0,0
Iran,14,0,0
Iran,15,0,0
