Date,Country,Province/State,Lat,Long,Confirmed,Recovered,Deaths
22/01/20,Afghanistan,,33,65,0,0,0
23/01/20,Afghanistan,,33,65,0,0,0
24/01/20,Afghanistan,,33,65,0,0,0
25/01/20,Afghanistan,,33,65,0,0,0
26/01/20,Afghanistan,,33,65,0,0,0
27/01/20,Afghanistan,,33,65,0,0,0
28/01/20,Afghanistan,,33,65,0,0,0
29/01/20,Afghanistan,,33,65,0,0,0
30/01/20,Afghanistan,,33,65,0,0,0
31/01/20,Afghanistan,,33,65,0,0,0
01/02/20,Afghanistan,,33,65,0,0,0
02/02/20,Afghanistan,,33,65,0,0,0
03/02/20,Afghanistan,,33,65,0,0,0
04/02/20,Afghanistan,,33,65,0,0,0
05/02/20,Afghanistan,,33,65,0,0,0
06/02/20,Afghanistan,,33,65,0,0,0
07/02/20,Afghanistan,,33,65,0,0,0
08/02/20,Afghanistan,,33,65,0,0,0
09/02/20,Afghanistan,,33,65,0,0,0
10/02/20,Afghanistan,,33,65,0,0,0
11/02/20,Afghanistan,,33,65,0,0,0
12/02/20,Afghanistan,,33,65,0,0,0
13/02/20,Afghanistan,,33,65,0,0,0
14/02/20,Afghanistan,,33,65,0,0,0
15/02/20,Afghanistan,,33,65,0,0,0
16/02/20,Afghanistan,,33,65,0,0,0
17/02/20,Afghanistan,,33,65,0,0,0
18/02/20,Afghanistan,,33,65,0,0,0
19/02/20,Afghanistan,,33,65,0,0,0
20/02/20,Afghanistan,,33,65,0,0,0
21/02/20,Afghanistan,,33,65,0,0,0
22/02/20,Afghanistan,,33,65,0,0,0
23/02/20,Afghanistan,,33,65,0,0,0
24/02/20,Afghanistan,,33,65,1,0,0
25/02/20,Afghanistan,,33,65,1,0,0
26/02/20,Afghanistan,,33,65,1,0,0
27/02/20,Afghanistan,,33,65,1,0,0
28/02/20,Afghanistan,,33,65,1,0,0
29/02/20,Afghanistan,,33,65,1,0,0
01/03/20,Afghanistan,,33,65,1,0,0
02/03/20,Afghanistan,,33,65,1,0,0
03/03/20,Afghanistan,,33,65,1,0,0
04/03/20,Afghanistan,,33,65,1,0,0
05/03/20,Afghanistan,,33,65,1,0,0
06/03/20,Afghanistan,,33,65,1,0,0
07/03/20,Afghanistan,,33,65,1,0,0
08/03/20,Afghanistan,,33,65,4,0,0
09/03/20,Afghanistan,,33,65,4,0,0
10/03/20,Afghanistan,,33,65,5,0,0
11/03/20,Afghanistan,,33,65,7,0,0
12/03/20,Afghanistan,,33,65,7,0,0
13/03/20,Afghanistan,,33,65,7,0,0
14/03/20,Afghanistan,,33,65,11,0,0
15/03/20,Afghanistan,,33,65,16,0,0
16/03/20,Afghanistan,,33,65,21,1,0
17/03/20,Afghanistan,,33,65,22,1,0
18/03/20,Afghanistan,,33,65,22,1,0
19/03/20,Afghanistan,,33,65,22,1,0
20/03/20,Afghanistan,,33,65,24,1,0
21/03/20,Afghanistan,,33,65,24,1,0
22/03/20,Afghanistan,,33,65,40,1,1
23/03/20,Afghanistan,,33,65,40,1,1
24/03/20,Afghanistan,,33,65,74,1,1
25/03/20,Afghanistan,,33,65,84,2,2
26/03/20,Afghanistan,,33,65,94,2,4
27/03/20,Afghanistan,,33,65,110,2,4
